Date,Highest Impact,Title,Display Authors,Area,Additional Metadata,Conference or Journal,Workshop,Superlative,Paper Link,Project Link,All Authors,EAI Affils
"Nov 10, 2022",TRUE,BLOOM: A 176b-parameter open-access multilingual language model,"Le Scao, Fan, Akiki, Pavlick, Ilić, Hesslow, Castagné, Luccioni, Yvon, Gallé, Tow, Rush, Biderman, Webson, Ammanamanchi, Wang, Sagot, Muennighoff, Villanova del Moral, Ruwase, Bawden, Bekman, McMillan-Major, Wolf, Beltagy, Nguyen, Saulnier, Tan, Ortiz Suarez, Sanh, Laurençon, Jernite, Launay, Mitchell, Raffel, and 357 others","Training Models, Multilingual",,TMLR,,,https://arxiv.org/abs/2211.05100,,Teven Le Scao; Angela Fan; Christopher Akiki; Ellie Pavlick; Suzana Ilić; Daniel Hesslow; Roman Castagné; Alexandra Sasha Luccioni; François Yvon; Matthias Gallé; Jonathan Tow; Alexander M. Rush; Stella Biderman; Albert Webson; Pawan Sasanka Ammanamanchi; Thomas Wang; Benoît Sagot; Niklas Muennighoff; Albert Villanova del Moral; Olatunji Ruwase; Rachel Bawden; Stas Bekman; Angelina McMillan-Major; Iz Beltagy; Huu Nguyen; Lucile Saulnier; Samson Tan; Pedro Ortiz Suarez; Victor Sanh; Hugo Laurençon; Yacine Jernite; Julien Launay; Margaret Mitchell; Colin Raffel; Aaron Gokaslan; Adi Simhi; Aitor Soroa; Alham Fikri Aji; Amit Alfassy; Anna Rogers; Ariel Kreisberg Nitzav; Canwen Xu; Chenghao Mou; Chris Emezue; Christopher Klamm; Colin Leong; Daniel van Strien; David Ifeoluwa Adelani; Dragomir Radev; Eduardo González Ponferrada; Efrat Levkovizh; Ethan Kim; Eyal Bar Natan; Francesco De Toni; Gérard Dupont; Germán Kruszewski; Giada Pistilli; Hady Elsahar; Hamza Benyamina; Hieu Tran; Ian Yu; Idris Abdulmumin; Isaac Johnson; Itziar Gonzalez-Dios; Javier de la Rosa; Jenny Chim; Jesse Dodge; Jian Zhu; Jonathan Chang; Jörg Frohberg; Joseph Tobing; Joydeep Bhattacharjee; Khalid Almubarak; Kimbo Chen; Kyle Lo; Leandro Von Werra; Leon Weber; Long Phan; Loubna Ben allal; Ludovic Tanguy; Manan Dey; Manuel Romero Muñoz; Maraim Masoud; María Grandury; Mario Šaško; Max Huang; Maximin Coavoux; Mayank Singh; Mike Tian-Jian Jiang; Minh Chien Vu; Mohammad A. Jauhar; Mustafa Ghaleb; Nishant Subramani; Nora Kassner; Nurulaqilla Khamis; Olivier Nguyen; Omar Espejel; Ona de Gibert; Paulo Villegas; Peter Henderson; Pierre Colombo; Priscilla Amuok; Quentin Lhoest; Rheza Harliman; Rishi Bommasani; Roberto Luis López; Rui Ribeiro; Salomey Osei; Sampo Pyysalo; Sebastian Nagel; Shamik Bose; Shamsuddeen Hassan Muhammad; Shanya Sharma; Shayne Longpre; Somaieh Nikpoor; Stanislav Silberberg; Suhas Pai; Sydney Zink; Tiago Timponi Torrent; Timo Schick; Tristan Thrush; Valentin Danchev; Vassilina Nikoulina; Veronika Laippala; Violette Lepercq; Vrinda Prabhu; Zaid Alyafeai; Zeerak Talat; Arun Raja; Benjamin Heinzerling; Chenglei Si; Davut Emre Taşar; Elizabeth Salesky; Sabrina J. Mielke; Wilson Y. Lee; Abheesht Sharma; Andrea Santilli; Antoine Chaffin; Arnaud Stiegler; Debajyoti Datta; Eliza Szczechla; Gunjan Chhablani; Han Wang; Harshit Pandey; Hendrik Strobelt; Jason Alan Fries; Jos Rozen; Leo Gao; Lintang Sutawika; M Saiful Bari; Maged S. Al-shaibani; Matteo Manica; Nihal Nayak; Ryan Teehan; Samuel Albanie; Sheng Shen; Srulik Ben-David; Stephen H. Bach; Taewoon Kim; Tali Bers; Thibault Fevry; Trishala Neeraj; Urmish Thakker; Vikas Raunak; Xiangru Tang; Zheng-Xin Yong; Zhiqing Sun; Shaked Brody; Yallow Uri; Hadar Tojarieh; Adam Roberts; Hyung Won Chung; Jaesung Tae; Jason Phang; Ofir Press; Conglong Li; Deepak Narayanan; Hatim Bourfoune; Jared Casper; Jeff Rasley; Max Ryabinin; Mayank Mishra; Minjia Zhang; Mohammad Shoeybi; Myriam Peyrounette; Nicolas Patry; Nouamane Tazi; Omar Sanseviero; Patrick von Platen; Pierre Cornette; Pierre François Lavallée; Rémi Lacroix; Samyam Rajbhandari; Sanchit Gandhi; Shaden Smith; Stéphane Requena; Suraj Patil; Tim Dettmers; Ahmed Baruwa; Amanpreet Singh; Anastasia Cheveleva; Anne-Laure Ligozat; Arjun Subramonian; Aurélie Névéol; Charles Lovering; Dan Garrette; Deepak Tunuguntla; Ehud Reiter; Ekaterina Taktasheva; Ekaterina Voloshina; Eli Bogdanov; Genta Indra Winata; Hailey Schoelkopf; Jan-Christoph Kalo; Jekaterina Novikova; Jessica Zosa Forde; Jordan Clive; Jungo Kasai; Ken Kawamura; Liam Hazan; Marine Carpuat; Miruna Clinciu; Najoung Kim; Newton Cheng; Oleg Serikov; Omer Antverg; Oskar van der Wal; Rui Zhang; Ruochen Zhang; Sebastian Gehrmann; Shachar Mirkin; Shani Pais; Tatiana Shavrina; Thomas Scialom; Tian Yun; Tomasz Limisiewicz; Verena Rieser; Vitaly Protasov; Vladislav Mikhailov; Yada Pruksachatkun; Yonatan Belinkov; Zachary Bamberger; Zdeněk Kasner; Alice Rueda; Amanda Pestana; Amir Feizpour; Ammar Khan; Amy Faranak; Ana Santos; Anthony Hevia; Antigona Unldreaj; Arash Aghagol; Arezoo Abdollahi; Aycha Tammour; Azadeh HajiHosseini; Bahareh Behroozi; Benjamin Ajibade; Bharat Saxena; Carlos Muñoz Ferrandis; Daniel McDuff; Danish Contractor; David Lansky; Davis David; Douwe Kiela; Duong A. Nguyen; Edward Tan; Emi Baylor; Ezinwanne Ozoani; Fatima Mirza; Frankline Ononiwu; Habib Rezanejad; Hessie Jones; Indrani Bhattacharya; Irene Solaiman; Irina Sedenko; Isar Nejadgholi; Jesse Passmore; Josh Seltzer; Julio Bonis Sanz; Livia Dutra; Mairon Samagaio; Maraim Elbadri; Margot Mieskes; Marissa Gerchick; Martha Akinlolu; Michael McKenna; Mike Qiu; Muhammed Ghauri; Mykola Burynok; Nafis Abrar; Nazneen Rajani; Nour Elkott; Nour Fahmy; Olanrewaju Samuel; Ran An; Rasmus Kromann; Ryan Hao; Samira Alizadeh; Sarmad Shubber; Silas Wang; Sourav Roy; Sylvain Viguier; Thanh Le; Tobi Oyebade; Trieu Le; Yoyo Yang; Zach Nguyen; Abhinav Ramesh Kashyap; Alfredo Palasciano; Alison Callahan; Anima Shukla; Antonio Miranda-Escalada; Ayush Singh; Benjamin Beilharz; Bo Wang; Caio Brito; Chenxi Zhou; Chirag Jain; Chuxin Xu; Clémentine Fourrier; Daniel León Periñán; Daniel Molano; Dian Yu; Enrique Manjavacas; Fabio Barth; Florian Fuhrimann; Gabriel Altay; Giyaseddin Bayrak; Gully Burns; Helena U. Vrabec; Imane Bello; Ishani Dash; Jihyun Kang; John Giorgi; Jonas Golde; Jose David Posada; Karthik Rangasai Sivaraman; Lokesh Bulchandani; Lu Liu; Luisa Shinzato; Madeleine Hahn de Bykhovetz; Maiko Takeuchi; Marc Pàmies; Maria A Castillo; Marianna Nezhurina; Mario Sänger; Matthias Samwald; Michael Cullan; Michael Weinberg; Michiel De Wolf; Mina Mihaljcic; Minna Liu; Moritz Freidank; Myungsun Kang; Natasha Seelam; Nathan Dahlberg; Nicholas Michio Broad; Nikolaus Muellner; Pascale Fung; Patrick Haller; Ramya Chandrasekhar; Renata Eisenberg; Robert Martin; Rodrigo Canalli; Rosaline Su; Ruisi Su; Samuel Cahyawijaya; Samuele Garda; Shlok S Deshmukh; Shubhanshu Mishra; Sid Kiblawi; Simon Ott; Sinee Sang-aroonsiri; Srishti Kumar; Stefan Schweter; Sushil Bharati; Tanmay Laud; Théo Gigant; Tomoya Kainuma; Wojciech Kusa; Yanis Labrak; Yash Shailesh Bajaj; Yash Venkatraman; Yifan Xu; Yingxin Xu; Yu Xu; Zhe Tan; Zhongli Xie; Zifan Ye; Mathilde Bras; Younes Belkada; Thomas Wolf,Stella Biderman; Jason Phang; Leo Gao
"Nov 28, 2022",TRUE,The BigScience ROOTS Corpus: A 1.6TB Composite Multilingual Dataset,"Laurençon, Saulnier, Wang, Akiki, Villanova del Moral, and 49 others","Data, Multilingual",,NeurIPS Datasets and Benchmarks,,Featured Paper at NeurIPS Datasets and Benchmarks Track,https://arxiv.org/abs/2303.03915,,Hugo Laurençon; Lucile Saulnier; Thomas Wang; Christopher Akiki; Albert Villanova del Moral; Teven Le Scao; Leandro Von Werra; Chenghao Mou; Eduardo González Ponferrada; Huu Nguyen; Jörg Frohberg; Mario Šaško; Quentin Lhoest; Angelina McMillan-Major; Gerard Dupont; Stella Biderman; Anna Rogers; Loubna Ben allal; Francesco De Toni; Giada Pistilli; Olivier Nguyen; Somaieh Nikpoor; Maraim Masoud; Pierre Colombo; Javier de la Rosa; Paulo Villegas; Tristan Thrush; Shayne Longpre; Sebastian Nagel; Leon Weber; Manuel Muñoz; Jian Zhu; Daniel Van Strien; Zaid Alyafeai; Khalid Almubarak; Minh Chien Vu; Itziar Gonzalez-Dios; Aitor Soroa; Kyle Lo; Manan Dey; Pedro Ortiz Suarez; Aaron Gokaslan; Shamik Bose; David Adelani; Long Phan; Hieu Tran; Ian Yu; Suhas Pai; Jenny Chim; Violette Lepercq; Suzana Ilic; Margaret Mitchell; Sasha Alexandra Luccioni; Yacine Jernite,Stella Biderman
"Nov 28, 2022",TRUE,LAION-5B: An open large-scale dataset for training next generation image-text models,"Schuhmann, Beaumont, Vencu, Gordon, Wightman, Cherti, and 10 others","Data, Multimodal",,NeurIPS Datasets and Benchmarks,,Outstanding Datasets and Benchmarks Paper at NeurIPS,https://arxiv.org/abs/2210.08402,,Christoph Schuhmann; Romain Beaumont; Richard Vencu; Cade Gordon; Ross Wightman; Mehdi Cherti; Theo Coombes; Aarush Katta; Clayton Mullis; Mitchell Wortsman; Patrick Schramowski; Srivatsa Kundurthy; Katherine Crowson; Ludwig Schmidt; Robert Kaczmarczyk; Jenia Jitsev,Katherine Crowson
"Nov 28, 2022",TRUE,"EleutherAI: Going Beyond ""Open Science"" to ""Science in the Open""","Phang, Bradley, Gao, Castricato, and Biderman",Misc.,,,NeurIPS Workshop on Broadening Research Collaborations,"Oral at Broadening Research Collaborations Workshop, NeurIPS",https://arxiv.org/abs/2210.06413,,Jason Phang; Herbie Bradley; Leo Gao; Louis Castricato; Stella Biderman,Jason Phang; Herbie Bradley; Leo Gao; Louis Castricato; Stella Biderman
"Dec 1, 2022",,What Language Model to Train if You Have One Million GPU Hours?,"Le Scao, Wang, Hesslow, Saulnier, Bekman, and 14 others",Training Models,,EMNLP (Findings),,,https://arxiv.org/abs/2210.15424,,Teven Le Scao; Thomas Wang; Daniel Hesslow; Stas Bekman; M Saiful Bari; Stella Biderman; Hady Elsahar; Niklas Muennighoff; Jason Phang; Ofir Press; Colin Raffel; Victor Sanh; Sheng Shen; Lintang Sutawika; Jaesung Tae; Zheng Xin Yong; Julien Launay; Iz Beltagy,Stella Biderman; Jason Phang
"Jan 9, 2023",,SantaCoder: don't reach for the stars!,"Ben Allal, Li, Kocetkov, Mou, Akiki, and 36 others",Training Models,,,,,https://arxiv.org/abs/2301.03988,,Hailey Schoelkopf,Hailey Schoelkopf
"Jan 21, 2023",,Masked inverse folding with sequence transfer for protein representation learning,"Yang, Zanichelli, and Yeh","AI4Science, Training Models",,Protein Engineering Design and Selection,,,https://pubmed.ncbi.nlm.nih.gov/37883472/,,Niccolò Zanichelli,Niccolò Zanichelli
"Feb 24, 2023",TRUE,ProofNet: Autoformalizing and Formally Proving Undergraduate-Level Mathematics,"Azerbayev, Piotrowski, Schoelkopf, Ayers, Radev, and Avigad","Evaluation, AI4Science",,,MATH-AI Workshop at NeurIPS 2022,"Oral at MATH-AI Workshop, NeurIPS",https://arxiv.org/abs/2302.12433,,Hailey Schoelkopf,Hailey Schoelkopf
"May 1, 2023",,Sparse Upcycling: Training Mixture-of-Experts from Dense Checkpoints,"Komatsuzaki, Puigcerver, Lee-Thorp, Riquelme Ruiz, Mustafa, Ainslie, Tay, Dehghani, and Houlsby",Training Models,,ICLR 2023,,,https://arxiv.org/abs/2212.05055,,Aran Komatsuzaki,Aran Komatsuzaki
"May 11, 2023",,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,"Srivastava, Rastogi, Rao, Shoeb, Abid, and 446 others",Evaluation,,TMLR,,,https://arxiv.org/abs/2206.04615,,Aarohi Srivastava; Abhinav Rastogi; Abhishek Rao; Abu Awal Md Shoeb; Abubakar Abid; Adam Fisch; Adam R. Brown; Adam Santoro; Aditya Gupta; Adrià Garriga-Alonso; Agnieszka Kluska; Aitor Lewkowycz; Akshat Agarwal; Alethea Power; Alex Ray; Alex Warstadt; Alexander W. Kocurek; Ali Safaya; Ali Tazarv; Alice Xiang; Alicia Parrish; Allen Nie; Aman Hussain; Amanda Askell; Amanda Dsouza; Ambrose Slone; Ameet Rahane; Anantharaman S. Iyer; Anders Andreassen; Andrea Madotto; Andrea Santilli; Andreas Stuhlmüller; Andrew Dai; Andrew La; Andrew Lampinen; Andy Zou; Angela Jiang; Angelica Chen; Anh Vuong; Animesh Gupta; Anna Gottardi; Antonio Norelli; Anu Venkatesh; Arash Gholamidavoodi; Arfa Tabassum; Arul Menezes; Arun Kirubarajan; Asher Mullokandov; Ashish Sabharwal; Austin Herrick; Avia Efrat; Aykut Erdem; Ayla Karakaş; B. Ryan Roberts; Bao Sheng Loe; Barret Zoph; Bartłomiej Bojanowski; Batuhan Özyurt; Behnam Hedayatnia; Behnam Neyshabur; Benjamin Inden; Benno Stein; Berk Ekmekci; Bill Yuchen Lin; Blake Howald; Bryan Orinion; Cameron Diao; Cameron Dour; Catherine Stinson; Cedrick Argueta; César Ferri Ramírez; Chandan Singh; Charles Rathkopf; Chenlin Meng; Chitta Baral; Chiyu Wu; Chris Callison-Burch; Chris Waites; Christian Voigt; Christopher D. Manning; Christopher Potts; Cindy Ramirez; Clara E. Rivera; Clemencia Siro; Colin Raffel; Courtney Ashcraft; Cristina Garbacea; Damien Sileo; Dan Garrette; Dan Hendrycks; Dan Kilman; Dan Roth; Daniel Freeman; Daniel Khashabi; Daniel Levy; Daniel Moseguí González; Danielle Perszyk; Danny Hernandez; Danqi Chen; Daphne Ippolito; Dar Gilboa; David Dohan; David Drakard; David Jurgens; Debajyoti Datta; Deep Ganguli; Denis Emelin; Denis Kleyko; Deniz Yuret; Derek Chen; Derek Tam; Dieuwke Hupkes; Diganta Misra; Dilyar Buzan; Dimitri Coelho Mollo; Diyi Yang; Dong-Ho Lee; Dylan Schrader; Ekaterina Shutova; Ekin Dogus Cubuk; Elad Segal; Eleanor Hagerman; Elizabeth Barnes; Elizabeth Donoway; Ellie Pavlick; Emanuele Rodola; Emma Lam; Eric Chu; Eric Tang; Erkut Erdem; Ernie Chang; Ethan A. Chi; Ethan Dyer; Ethan Jerzak; Ethan Kim; Eunice Engefu Manyasi; Evgenii Zheltonozhskii; Fanyue Xia; Fatemeh Siar; Fernando Martínez-Plumed; Francesca Happé; Francois Chollet; Frieda Rong; Gaurav Mishra; Genta Indra Winata; Gerard de Melo; Germán Kruszewski; Giambattista Parascandolo; Giorgio Mariani; Gloria Wang; Gonzalo Jaimovitch-López; Gregor Betz; Guy Gur-Ari; Hana Galijasevic; Hannah Kim; Hannah Rashkin; Hannaneh Hajishirzi; Harsh Mehta; Hayden Bogar; Henry Shevlin; Hinrich Schütze; Hiromu Yakura; Hongming Zhang; Hugh Mee Wong; Ian Ng; Isaac Noble; Jaap Jumelet; Jack Geissinger; Jackson Kernion; Jacob Hilton; Jaehoon Lee; Jaime Fernández Fisac; James B. Simon; James Koppel; James Zheng; James Zou; Jan Kocoń; Jana Thompson; Janelle Wingfield; Jared Kaplan; Jarema Radom; Jascha Sohl-Dickstein; Jason Phang; Jason Wei; Jason Yosinski; Jekaterina Novikova; Jelle Bosscher; Jennifer Marsh; Jeremy Kim; Jeroen Taal; Jesse Engel; Jesujoba Alabi; Jiacheng Xu; Jiaming Song; Jillian Tang; Joan Waweru; John Burden; John Miller; John U. Balis; Jonathan Batchelder; Jonathan Berant; Jörg Frohberg; Jos Rozen; Jose Hernandez-Orallo; Joseph Boudeman; Joseph Guerr; Joseph Jones; Joshua B. Tenenbaum; Joshua S. Rule; Joyce Chua; Kamil Kanclerz; Karen Livescu; Karl Krauth; Karthik Gopalakrishnan; Katerina Ignatyeva; Katja Markert; Kaustubh D. Dhole; Kevin Gimpel; Kevin Omondi; Kory Mathewson; Kristen Chiafullo; Ksenia Shkaruta; Kumar Shridhar; Kyle McDonell; Kyle Richardson; Laria Reynolds; Leo Gao; Li Zhang; Liam Dugan; Lianhui Qin; Lidia Contreras-Ochando; Louis-Philippe Morency; Luca Moschella; Lucas Lam; Lucy Noble; Ludwig Schmidt; Luheng He; Luis Oliveros Colón; Luke Metz; Lütfi Kerem Şenel; Maarten Bosma; Maarten Sap; Maartje ter Hoeve; Maheen Farooqi; Manaal Faruqui; Mantas Mazeika; Marco Baturan; Marco Marelli; Marco Maru; Maria Jose Ramírez Quintana; Marie Tolkiehn; Mario Giulianelli; Martha Lewis; Martin Potthast; Matthew L. Leavitt; Matthias Hagen; Mátyás Schubert; Medina Orduna Baitemirova; Melody Arnaud; Melvin McElrath; Michael A. Yee; Michael Cohen; Michael Gu; Michael Ivanitskiy; Michael Starritt; Michael Strube; Michał Swędrowski; Michele Bevilacqua; Michihiro Yasunaga; Mihir Kale; Mike Cain; Mimee Xu; Mirac Suzgun; Mitch Walker; Mo Tiwari; Mohit Bansal; Moin Aminnaseri; Mor Geva; Mozhdeh Gheini; Mukund Varma T; Nanyun Peng; Nathan A. Chi; Nayeon Lee; Neta Gur-Ari Krakover; Nicholas Cameron; Nicholas Roberts; Nick Doiron; Nicole Martinez; Nikita Nangia; Niklas Deckers; Niklas Muennighoff; Nitish Shirish Keskar; Niveditha S. Iyer; Noah Constant; Noah Fiedel; Nuan Wen; Oliver Zhang; Omar Agha; Omar Elbaghdadi; Omer Levy; Owain Evans; Pablo Antonio Moreno Casares; Parth Doshi; Pascale Fung; Paul Pu Liang; Paul Vicol; Pegah Alipoormolabashi; Peiyuan Liao; Percy Liang; Peter Chang; Peter Eckersley; Phu Mon Htut; Pinyu Hwang; Piotr Miłkowski; Piyush Patil; Pouya Pezeshkpour; Priti Oli; Qiaozhu Mei; Qing Lyu; Qinlang Chen; Rabin Banjade; Rachel Etta Rudolph; Raefer Gabriel; Rahel Habacker; Ramon Risco; Raphaël Millière; Rhythm Garg; Richard Barnes; Rif A. Saurous; Riku Arakawa; Robbe Raymaekers; Robert Frank; Rohan Sikand; Roman Novak; Roman Sitelew; Ronan LeBras; Rosanne Liu; Rowan Jacobs; Rui Zhang; Ruslan Salakhutdinov; Ryan Chi; Ryan Lee; Ryan Stovall; Ryan Teehan; Rylan Yang; Sahib Singh; Saif M. Mohammad; Sajant Anand; Sam Dillavou; Sam Shleifer; Sam Wiseman; Samuel Gruetter; Samuel R. Bowman; Samuel S. Schoenholz; Sanghyun Han; Sanjeev Kwatra; Sarah A. Rous; Sarik Ghazarian; Sayan Ghosh; Sean Casey; Sebastian Bischoff; Sebastian Gehrmann; Sebastian Schuster; Sepideh Sadeghi; Shadi Hamdan; Sharon Zhou; Shashank Srivastava; Sherry Shi; Shikhar Singh; Shima Asaadi; Shixiang Shane Gu; Shubh Pachchigar; Shubham Toshniwal; Shyam Upadhyay; Shyamolima; Debnath; Siamak Shakeri; Simon Thormeyer; Simone Melzi; Siva Reddy; Sneha Priscilla Makini; Soo-Hwan Lee; Spencer Torene; Sriharsha Hatwar; Stanislas Dehaene; Stefan Divic; Stefano Ermon; Stella Biderman; Stephanie Lin; Stephen Prasad; Steven T. Piantadosi; Stuart M. Shieber; Summer Misherghi; Svetlana Kiritchenko; Swaroop Mishra; Tal Linzen; Tal Schuster; Tao Li; Tao Yu; Tariq Ali; Tatsu Hashimoto; Te-Lin Wu; Théo Desbordes; Theodore Rothschild; Thomas Phan; Tianle Wang; Tiberius Nkinyili; Timo Schick; Timofei Kornev; Titus Tunduny; Tobias Gerstenberg; Trenton Chang; Trishala Neeraj; Tushar Khot; Tyler Shultz; Uri Shaham; Vedant Misra; Vera Demberg; Victoria Nyamai; Vikas Raunak; Vinay Ramasesh; Vinay Uday Prabhu; Vishakh Padmakumar; Vivek Srikumar; William Fedus; William Saunders; William Zhang; Wout Vossen; Xiang Ren; Xiaoyu Tong; Xinran Zhao; Xinyi Wu; Xudong Shen; Yadollah Yaghoobzadeh; Yair Lakretz; Yangqiu Song; Yasaman Bahri; Yejin Choi; Yichi Yang; Yiding Hao; Yifu Chen; Yonatan Belinkov; Yu Hou; Yufang Hou; Yuntao Bai; Zachary Seid; Zhuoye Zhao; Zijian Wang; Zijie J. Wang; Zirui Wang; Ziyi Wu,Stella Biderman; Leo Gao
"May 14, 2023",TRUE,Eliciting latent predictions from transformers with the tuned lens,"Belrose, Ostrovsky, McKinney, Furman, Smith, Halawi, Biderman, and Steinhardt",Model Internals,,,,,https://arxiv.org/abs/2303.08112,,Nora Belrose; Igor Ostrovsky; Lev McKinney; Zach Furman; Logan Smith; Danny Halawi; Stella Biderman; Jacob Steinhardt,Stella Biderman; Leo Gao
"May 24, 2023",,Can Transformers Learn to Solve Problems Recursively?,"Zhang, Tigges, Biderman, Raginsky, and Ringer",Model Internals,,Extended to a published paper,,,https://arxiv.org/abs/2305.14699,,Shizhuo Dylan Zhang; Curt Tigges; Stella Biderman; Maxim Raginsky; Talia Ringer,Curt Tigges; Stella Biderman
"May 25, 2023",TRUE,Role-Play with Large Language Models,"Shanahan, McDonell, and Reynolds",Behavioral Safety,,Nature,,,https://arxiv.org/abs/2305.16367,,Murray Shanahan; Kyle McDonell; Laria Reynolds,Kyle McDonell; Laria Reynolds
"Jun 6, 2023",,A Technical Report for Polyglot-Ko: Open-Source Large-Scale Korean Language Models,"Ko, Yang, Ryu, Choi, Yang, Hyun, Park, and Park","Training Models, Data, Multilingual",,,,,https://arxiv.org/abs/2306.02254,,Hyunwoong Ko; Kichang Yang; Minho Ryu; Taekyoon Choi; Seungmu Yang; Jiwung Hyun; Sungho Park; Kyubyong Park,Hyunwoong Ko; Kichang Yang; Minho Ryu; Taekyoon Choi; Seungmu Yang; Jiwung Hyun; Sungho Park; Kyubyong Park
"Jun 9, 2023",,Evaluating the Social Impact of Generative AI Systems in Systems and Society,"Solaiman, Talat, Agnew, Ahmad, Baker, and 26 others","Evaluation, Behavioral Safety, AI Governance & Societal Impacts",,,,,https://arxiv.org/abs/2306.05949,,Irene Solaiman; Zeerak Talat; William Agnew; Lama Ahmad; Dylan Baker; Su Lin Blodgett; Canyu Chen; Hal Daumé III; Jesse Dodge; Isabella Duan; Ellie Evans; Felix Friedrich; Avijit Ghosh; Usman Gohar; Sara Hooker; Yacine Jernite; Ria Kalluri; Alberto Lusoli; Alina Leidinger; Michelle Lin; Xiuzhu Lin; Sasha Luccioni; Jennifer Mickel; Margaret Mitchell; Jessica Newman; Anaelia Ovalle; Marie-Therese Png; Shubham Singh; Andrew Strait; Lukas Struppek; Arjun Subramonian,Jennifer Mickel
"Jul 9, 2023",,BLOOM+1: Adding Language Support to BLOOM for Zero-Shot Prompting,"Yong, Schoelkopf, Muennighoff, Aji, and 11 others","Training Models, Multilingual",,ACL,,,https://arxiv.org/abs/2212.09535,,Zheng-Xin Yong; Hailey Schoelkopf; Niklas Muennighoff; Alham Fikri Aji; David Ifeoluwa Adelani; Khalid Almubarak; M Saiful Bari; Lintang Sutawika; Jungo Kasai; Ahmed Baruwa; Genta Indra Winata; Stella Biderman; Edward Raff; Dragomir Radev; Vassilina Nikoulina,Hailey Schoelkopf; Lintang Sutawika; Stella Biderman
"Jul 9, 2023",TRUE,Crosslingual Generalization through Multitask Finetuning,"Muennighoff, Wang, Sutawika, Roberts, Biderman, and 14 others","Training Models, Data, Multilingual",,ACL,,,https://arxiv.org/abs/2211.01786,,Niklas Muennighoff; Thomas Wang; Lintang Sutawika; Adam Roberts; Stella Biderman; Teven Le Scao; M Saiful Bari; Sheng Shen; Zheng Xin Yong; Hailey Schoelkopf; Xiangru Tang; Dragomir Radev; Alham Fikri Aji; Khalid Almubarak; Samuel Albanie; Zaid Alyafeai; Albert Webson; Edward Raff; Colin Raffel,Lintang Sutawika; Stella Biderman; Hailey Schoelkopf
"Jul 9, 2023",,GAIA Search: Hugging Face and Pyserini Interoperability for NLP Training Data Exploration,"Piktus, Ogundepo, Akiki, Oladipo, Zhang, Schoelkopf, Biderman, Potthast, and Lin",Data,,ACL 2023 Demos Track,,,https://arxiv.org/abs/2306.01481,,Aleksandra Piktus; Odunayo Ogundepo; Christopher Akiki; Akintunde Oladipo; Xinyu Zhang; Hailey Schoelkopf; Stella Biderman; Martin Potthast; Jimmy Lin,Hailey Schoelkopf; Stella Biderman
"Jul 19, 2023",,Challenges and Applications of Large Language Models,"Kaddour, Harris, Mozes, Bradley, Raileanu, and McHardy",Misc.,,,,,https://arxiv.org/abs/2307.10169,,Jean Kaddour; Joshua Harris; Maximilian Mozes; Herbie Bradley; Roberta Raileanu; Robert McHardy,Herbie Bradley
"Jul 23, 2023",TRUE,Continual Pre-Training of Large Language Models: How to (re)warm your model?,"Gupta, Thérien, Ibrahim, Richter, Anthony, Belilovsky, Rish, and Lesort","Training Models, Learning Dynamics",,Extended to a published paper,ICML Workshop on Efficient Systems for Foundation Models,,https://arxiv.org/abs/2308.04014,,Kshitij Gupta; Benjamin Thérien; Adam Ibrahim; Mats L. Richter; Quentin Anthony; Eugene Belilovsky; Irina Rish; Timothée Lesort,Quentin Anthony
"Jul 23, 2023",,HyperTuning: Toward Adapting Large Language Models without Back-propagation,"Phang, Mao, He, and Chen",Training Models,,ICML,,,https://arxiv.org/abs/2211.12485,,Jason Phang; Yi Mao; Pengcheng He; Weizhu Chen,Jason Phang
"Jul 23, 2023",,Recasting Self-Attention with Holographic Reduced Representations,"Alam, Raff, Biderman, Oates, and Holt",Training Models,,ICML,,,https://arxiv.org/abs/2305.19534,,Mohammad Mahmudul Alam; Edward Raff; Stella Biderman; Tim Oates; James Holt,Stella Biderman
"Jul 23, 2023",TRUE,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,"Biderman, Schoelkopf, and 11 others","Training Models, Learning Dynamics, Model Internals, Open-Weight Safety",,ICML,,Oral at ICML,https://arxiv.org/abs/2304.01373,,Stella Biderman; Hailey Schoelkopf; Quentin Anthony; Herbie Bradley; Kyle O'Brien; Eric Hallahan; Mohammad Aflah Khan; Shivanshu Purohit; USVSN Sai Prashanth; Edward Raff; Aviya Skowron; Lintang Sutawika; Oskar van der Wal,Stella Biderman; Hailey Schoelkopf; Quentin Anthony; Herbie Bradley; Kyle O'Brien; Eric Hallahan; Shivanshu Purohit; USVSN Sai Prashanth; Aviya Skowron; Lintang Sutawika
"Jul 25, 2023",TRUE,ARB: Advanced Reasoning Benchmark for Large Language Models,"Sawada, Paleka, Havrilla, Tadepalli, Vidas, Kranias, Nay, Gupta, and Komatsuzaki","Evaluation, AI4Science",,,,,https://arxiv.org/abs/2307.13692,,Tomohiro Sawada; Daniel Paleka; Alexander Havrilla; Pranav Tadepalli; Paula Vidas; Alexander Kranias; John J. Nay; Kshitij Gupta; Aran Komatsuzaki,Alexander Havrilla; Aran Komatsuzaki
